"Server Name","Alt Name","Guild ID","Invite URL",Region,"Icon URL",Boosts,Members,Online,Messages,"Hourly Activity","Badge Color Primary","Badge Color Secondary"
"Ƭitans Ф ᴛɛʀʀօƦ","Titans of Terror",1215955043170258954,https://discord.gg/Y7UrFH8QxX,,https://cdn.discordapp.com/icons/1215955043170258954/031fd12af156265f0d129091c4fe2abd.png,0,336,45,4723,"[139,192,161,146,118,103,48,92,88,89,110,78,170,178,287,356,386,349,357,398,298,197,245,138]",#000000,#b80000
"Omega Alpha Official",,561437137111744512,https://discord.gg/Fa5BXXV,en,https://cdn.discordapp.com/icons/561437137111744512/a_3ef1050bbc9f43e55d539708855ff769.gif,3,279,33,4717,"[75,67,143,113,85,158,159,116,145,193,182,215,220,317,361,242,269,365,186,246,259,210,188,203]",#ff0000,#800000
"LI•KA•PA",LIKAPA,739426298648330302,https://discord.gg/sVbSKEjZGv,en,https://cdn.discordapp.com/icons/739426298648330302/a_39e055efed878faf31655b882199ea38.gif,2,348,33,4630,"[155,158,163,118,108,74,54,40,64,133,122,166,142,216,253,442,348,332,347,301,269,183,219,223]",#ff0000,#800000
"LI•KA•PA",LIKAPA,739426298648330302,https://discord.gg/3CE2zAs,en,https://cdn.discordapp.com/icons/739426298648330302/a_39e055efed878faf31655b882199ea38.gif,2,348,30,4630,"[155,158,163,118,108,74,54,40,64,133,122,166,142,216,253,442,348,332,347,301,269,183,219,223]",#ff0000,#800000
"Hades' Star Official",hso,255083954036670464,https://discord.gg/hadesstar,,https://cdn.discordapp.com/icons/255083954036670464/c6bf510cb6a7bd8dedf13dd45619b7db.png,2,20469,1427,4394,"[113,80,184,160,141,155,190,159,166,242,187,214,149,118,147,135,195,217,311,355,237,204,213,122]",#ff0000,#800000
"👽 a l i e n i g e n a s 👽",,907699305643642960,https://discord.gg/KSnYkwmAcH,en,https://cdn.discordapp.com/icons/907699305643642960/3517afbfe6ffcbf6b00cc1c437f6adc1.png,0,130,26,4357,"[183,251,130,284,152,18,42,47,108,50,74,131,189,188,211,214,187,248,299,292,239,272,325,223]",#ff0000,#800000
"👽 a l i e n i g e n a s 👽",,907699305643642960,https://discord.gg/szv4DVuHA5,en,https://cdn.discordapp.com/icons/907699305643642960/3517afbfe6ffcbf6b00cc1c437f6adc1.png,0,130,19,4357,"[183,251,130,284,152,18,42,47,108,50,74,131,189,188,211,214,187,248,299,292,239,272,325,223]",#ff0000,#800000
"HFC🚀",,739873943569301514,https://discord.gg/Rv9W6Nqk9a,de,https://cdn.discordapp.com/icons/739873943569301514/03fabc1416e2ad1662fa031f248d7f14.png,2,128,13,4294,"[8,2,0,26,78,116,170,308,254,280,228,156,146,178,174,250,182,216,256,296,294,490,174,12]",#ff0000,#800000
"HFC🚀",,739873943569301514,https://discord.gg/cMHeknWazZ,de,https://cdn.discordapp.com/icons/739873943569301514/03fabc1416e2ad1662fa031f248d7f14.png,2,128,13,4294,"[8,2,0,26,78,116,170,308,254,280,228,156,146,178,174,250,182,216,256,296,294,490,174,12]",#ff0000,#800000
"Blood Hounds",,1176955827823849662,https://discord.gg/S45YmPgus7,,https://cdn.discordapp.com/icons/1176955827823849662/6875ab22fe1e3a67f48ceab8fd93cafc.png,0,61,16,3650,"[143,250,303,257,53,39,4,11,18,7,35,41,192,189,236,206,211,220,211,162,164,256,209,233]",#ff0000,#800000
"France Les Cités",,371687157817016331,https://discord.gg/NnCybBycWq,fr,https://cdn.discordapp.com/icons/371687157817016331/bba9e45e2747ac3bcb7d0c08dad32bbd.png,0,290,32,3474,"[24,23,51,6,67,134,205,128,139,166,256,233,228,200,167,239,199,122,261,167,129,223,45,62]",#ff0000,#800000
"Pirates Spatiales",PIR,471986153252192276,https://discord.gg/wZcGGNZ,fr,https://cdn.discordapp.com/icons/471986153252192276/7688480ea575dc5b417d9bbfd08ae0f1.png,12,261,19,3469,"[9,12,12,48,98,75,124,163,158,111,203,258,212,166,93,157,164,204,304,313,316,178,77,14]",#d0ae3f,#fffc7f
"Vision Gaming",,743464824587157545,https://discord.gg/visiongaming,,https://cdn.discordapp.com/icons/743464824587157545/a_cb91fc4712a81222edc7d5dfe51c7a96.gif,14,888,104,3400,"[84,161,183,120,103,94,67,78,69,70,28,82,134,177,148,217,246,174,338,217,201,158,117,134]",#ff0000,#800000
"Space Pals",,610037048702926859,https://discord.gg/3A9WHQV,en,https://cdn.discordapp.com/icons/610037048702926859/a_ac81ea72a1d484992b0a45d430e66821.gif,7,221,27,3358,"[92,69,105,79,60,111,107,48,140,119,130,170,251,153,207,210,232,158,192,113,141,135,179,157]",#ff0000,#800000
"Tuatha De Danan",,763883338988650506,https://discord.gg/z6STHmJ88H,en,https://cdn.discordapp.com/icons/763883338988650506/c8ec3b825e8b9f69ffd2d8c718fc4e7a.png,0,99,20,3215,"[66,29,30,38,46,30,60,97,158,160,217,192,63,106,160,195,197,225,132,173,226,285,216,114]",#ff0000,#800000
"Crux Cadre",,741191761610932265,https://discord.gg/KURwcyxGxS,en,https://cdn.discordapp.com/icons/741191761610932265/92531f8d718bdb72d358243428f00a10.png,0,106,14,2801,"[172,115,209,162,48,53,38,58,24,67,96,34,67,83,120,214,110,172,116,100,209,280,129,125]",#ff0000,#800000
Collective,"The Collective",398536944423796757,https://discord.gg/ze8yC2Gt6K,,https://cdn.discordapp.com/icons/398536944423796757/a_e1b2c02fb49e6263e6fa2db7aaebf081.gif,8,754,67,2784,"[68,59,35,48,84,50,24,18,45,33,28,90,110,170,282,257,157,226,151,191,238,177,134,109]",#0015ff,#f6ff00
Newbs,,726623328445399152,https://discord.gg/gcZEagV,en,https://cdn.discordapp.com/icons/726623328445399152/1bae8dc9bde8825459103e241874a92e.png,0,77,15,2755,"[63,50,36,53,14,41,70,42,81,99,68,138,128,126,176,142,192,319,294,139,203,70,144,67]",#ff0000,#800000
"Hinterm Mond",,399191033889685504,https://discord.gg/SK46885,de,https://cdn.discordapp.com/icons/399191033889685504/1bb5720d00362d377fcd77a85950344b.png,2,415,28,2710,"[13,9,7,22,25,70,80,131,94,95,142,124,82,75,110,144,163,233,281,367,233,127,53,30]",#ff0000,#800000
"Black Pearl",,1351539962998161470,https://discord.gg/Fu5tws4Ycs,,https://cdn.discordapp.com/icons/1351539962998161470/86e102d1dede312f5ddc17d07b47d97f.png,0,87,14,2697,"[14,11,21,5,25,31,45,82,156,275,125,83,199,155,120,196,95,131,115,214,283,160,122,34]",#ff0000,#800000
"Karanth' Corp",,362536524073533441,https://discord.gg/D9Xf2YTEgc,pl,https://cdn.discordapp.com/icons/362536524073533441/01734a72df5c37e7e8f25dc8fc868957.png,0,121,9,2639,"[5,0,5,5,125,139,67,96,167,286,86,181,185,242,96,101,82,62,230,239,153,77,10,0]",#ff0000,#800000
"Karanth' Corp",,362536524073533441,https://discord.gg/Rw28GEG,pl,https://cdn.discordapp.com/icons/362536524073533441/01734a72df5c37e7e8f25dc8fc868957.png,0,121,10,2639,"[5,0,5,5,125,139,67,96,167,286,86,181,185,242,96,101,82,62,230,239,153,77,10,0]",#ff0000,#800000
"Royaume de Kaamelott",,718554362498252891,https://discord.gg/dPeX4sZQbk,fr,https://cdn.discordapp.com/icons/718554362498252891/79ac25cff9dc922b2ec2145b03ba656c.png,0,207,24,2603,"[7,6,4,1,13,43,63,74,99,127,115,91,171,131,84,134,145,263,108,276,309,233,64,42]",#ff0000,#800000
"Royaume de Kaamelott",,718554362498252891,https://discord.gg/EXj5vtr,fr,https://cdn.discordapp.com/icons/718554362498252891/79ac25cff9dc922b2ec2145b03ba656c.png,0,207,20,2603,"[7,6,4,1,13,43,63,74,99,127,115,91,171,131,84,134,145,263,108,276,309,233,64,42]",#ff0000,#800000
"Hades Federation",,1215398582874804264,https://discord.gg/FhactVbKbG,,https://cdn.discordapp.com/icons/1215398582874804264/a3990e3cac8a7eb8e19c445ea412f7ff.png,0,59,9,2599,"[21,20,11,10,34,84,30,53,66,59,97,32,57,93,150,172,145,133,348,348,253,209,145,29]",#ff0000,#800000
"GDZ - Gloria Dominatio Zelus",,404778235813953546,https://discord.gg/3Kn48fX,en,https://cdn.discordapp.com/icons/404778235813953546/13ce89bac6960e4fdb118d61aa4dd8e3.png,0,185,18,2580,"[68,184,136,144,65,68,46,40,31,32,114,141,93,72,96,49,71,113,88,90,153,252,223,211]",#ff0000,#800000
"[c̲̲̅σ̲̲̅и̲̲̅т̲̲̅i̲̲̅и̲̲̅υ̲̅υм]",Continuum,503756389705973760,https://discord.gg/BaF8Wk9mFp,en,https://cdn.discordapp.com/icons/503756389705973760/9840922dd7597553f31ec8667a284b80.png,0,390,42,2567,"[103,64,40,58,107,59,92,84,79,101,120,49,50,71,141,108,157,121,117,289,148,218,71,120]",#ff0000,#800000
"[c̲̲̅σ̲̲̅и̲̲̅т̲̲̅i̲̲̅и̲̲̅υ̲̅υм]",Continuum,503756389705973760,https://discord.gg/yM4Eddabk9,en,https://cdn.discordapp.com/icons/503756389705973760/9840922dd7597553f31ec8667a284b80.png,0,390,38,2567,"[103,64,40,58,107,59,92,84,79,101,120,49,50,71,141,108,157,121,117,289,148,218,71,120]",#ff0000,#800000
"Critical Mass",,1408065862916636752,https://discord.gg/gX6VetxjMm,,https://cdn.discordapp.com/icons/1408065862916636752/95a4b66f410ea6b80607300a28f81de0.png,0,101,17,2497,"[82,44,37,28,16,19,23,29,47,45,92,77,96,104,117,156,146,186,247,219,250,150,170,117]",#ff0000,#800000
"No Orbit©",,515644672392036362,https://discord.gg/FxGWHf8,en,https://cdn.discordapp.com/icons/515644672392036362/9edb5ed0b5405b30c6e8c611bdc6ab58.png,0,158,19,2455,"[57,556,87,42,24,39,21,36,27,48,94,54,18,84,199,108,154,99,132,99,142,142,115,78]",#ff0000,#800000
Hexacropians,,999909641880350830,https://discord.gg/Y7EZe2eQk9,,https://cdn.discordapp.com/icons/999909641880350830/5d39cf86cd84f4c14f369e4703b32365.png,0,44,5,2315,"[76,54,41,43,119,80,116,138,176,168,502,329,58,4,10,8,35,12,20,39,54,75,79,79]",#ff0000,#800000
"Hades stays in Yishun",,382453967952805889,https://discord.gg/8R84KA7,en,https://cdn.discordapp.com/icons/382453967952805889/14f8026730daa4dc2b6c4007036308e1.png,0,123,10,2276,"[200,98,113,77,172,91,105,181,130,145,288,160,163,158,77,17,8,7,18,0,0,1,15,52]",#ff0000,#800000
"Stellar Exports",,705354004309475351,https://discord.gg/3zWfHnqfry,en,https://cdn.discordapp.com/icons/705354004309475351/5f2f78d75caac8eeec691558dd841e51.png,1,133,7,2242,"[27,67,97,23,57,84,113,69,140,54,94,116,27,46,90,84,50,96,174,170,172,190,153,49]",#ff0000,#800000
"Stellar Exports",,705354004309475351,https://discord.gg/nBrqgsV,en,https://cdn.discordapp.com/icons/705354004309475351/5f2f78d75caac8eeec691558dd841e51.png,1,133,7,2242,"[27,67,97,23,57,84,113,69,140,54,94,116,27,46,90,84,50,96,174,170,172,190,153,49]",#ff0000,#800000
"The United Stars of Hades",USH,749454391714775161,https://discord.gg/55XeguWtVK,en,https://cdn.discordapp.com/icons/749454391714775161/a_22b228fbb5cf0a5a27b5ae37c75e7f83.gif,5,72,14,2242,"[179,252,85,49,39,8,3,5,6,23,17,49,59,123,100,98,190,195,118,167,117,54,172,134]",#5d1d47,#c58fbb
"The United Stars of Hades",USH,749454391714775161,https://discord.gg/mjFw6PUW52,en,https://cdn.discordapp.com/icons/749454391714775161/a_22b228fbb5cf0a5a27b5ae37c75e7f83.gif,5,72,15,2242,"[179,252,85,49,39,8,3,5,6,23,17,49,59,123,100,98,190,195,118,167,117,54,172,134]",#5d1d47,#c58fbb
Ceruleans,CS,1093559047137013800,https://discord.gg/c4c7f6BqVa,,https://cdn.discordapp.com/icons/1093559047137013800/d594685062cdce6eca5ee656664513a9.png,1,276,43,2147,"[72,67,28,55,79,95,150,44,54,48,34,30,26,38,154,178,264,231,114,64,83,88,81,70]",#32839a,#71c2d9
"Sith Empire",,422164875570184193,https://discord.gg/PCVggWADdt,en,https://cdn.discordapp.com/icons/422164875570184193/a_3098b957bf71c7bace2517d663ed86f1.gif,2,180,14,2046,"[144,232,143,165,126,56,36,30,18,23,52,117,65,73,132,100,52,55,112,67,90,43,59,56]",#ff0000,#800000
"Sith Empire",,422164875570184193,https://discord.gg/R6sJCw2,en,https://cdn.discordapp.com/icons/422164875570184193/a_3098b957bf71c7bace2517d663ed86f1.gif,2,180,13,2046,"[144,232,143,165,126,56,36,30,18,23,52,117,65,73,132,100,52,55,112,67,90,43,59,56]",#ff0000,#800000
NotsoSerious,,434225356292227073,https://discord.gg/7tvG2jwSvD,en,https://cdn.discordapp.com/icons/434225356292227073/fd71ce2f299ce28b4e586b5a0b10ef98.png,0,136,20,1999,"[83,55,23,19,37,23,32,64,33,155,192,127,97,200,169,73,83,77,50,150,74,38,86,59]",#ff0000,#800000
NotsoSerious,,434225356292227073,https://discord.gg/3DDnEEX,en,https://cdn.discordapp.com/icons/434225356292227073/fd71ce2f299ce28b4e586b5a0b10ef98.png,0,136,22,1999,"[83,55,23,19,37,23,32,64,33,155,192,127,97,200,169,73,83,77,50,150,74,38,86,59]",#ff0000,#800000
"Hade’s Research Station [ HRS ]",,1400385036519346296,https://discord.gg/DZJgkukPtV,,https://cdn.discordapp.com/icons/1400385036519346296/bace7d99d1a034142c7da46522f323ef.png,0,231,34,1979,"[76,55,51,50,13,69,21,77,70,50,18,25,56,77,40,84,81,72,97,218,92,211,250,126]",#ff0000,#800000
"IMPERIAL ARMADA",,635224120405262379,https://discord.gg/bAAYCqG2cE,,https://cdn.discordapp.com/icons/635224120405262379/f821e29181713462960accb12627a68b.png,0,237,36,1889,"[89,81,65,62,22,10,19,34,40,31,33,97,139,94,108,200,184,74,63,85,81,35,124,119]",#ff0000,#800000
"🎇 Industrial Wipe Out",,797645901895565362,https://discord.gg/QJASDtk4j7,en,https://cdn.discordapp.com/icons/797645901895565362/dff91b22ec1be6274981b5f02d1f88cc.png,0,174,20,1863,"[30,0,6,4,9,93,68,135,96,89,147,78,64,81,53,99,238,130,96,87,130,83,34,13]",#ff0000,#800000
"Duchy Arrakis",,911160458898186251,https://discord.gg/KqYStwNR2z,,https://cdn.discordapp.com/icons/911160458898186251/fccc75f64726e05d48cb7d52c359ffae.png,0,115,6,1853,"[3,0,0,0,15,53,62,89,48,48,98,153,79,91,33,93,53,79,199,230,282,109,36,0]",#ff0000,#800000
"RELAX CZ/SK",,476743944634630146,https://discord.gg/2wKqxKw,,https://cdn.discordapp.com/icons/476743944634630146/d0943551f249f44a4c5cf1dd766e3701.png,0,67,6,1690,"[3,0,0,3,61,19,204,99,38,67,74,93,57,29,37,22,145,81,407,225,10,13,3,0]",#ff0000,#800000
"Lost Legion",,830940798241079338,https://discord.gg/bf68W2sxEY,en,https://cdn.discordapp.com/icons/830940798241079338/5d59fabf3f2040570b78d3fe0874583e.png,0,29,4,1668,"[146,117,29,6,6,0,12,6,0,0,17,0,40,28,29,90,283,56,67,46,95,67,267,261]",#ff0000,#800000
"Astral Alliance",,1102280340879441970,https://discord.gg/naqEGjHA3B,en,https://cdn.discordapp.com/icons/1102280340879441970/f3f7e493502e3c6d803a0aad88251c99.png,0,196,32,1667,"[76,58,41,94,22,47,144,133,36,41,9,61,69,41,22,29,132,179,124,102,46,93,39,29]",#ff0000,#800000
"The Star League",TSL,355101373483712513,https://discord.gg/2cEAstZ,en,https://cdn.discordapp.com/icons/355101373483712513/a_2e731750cce29af9f54bc7039a8196e7.gif,7,381,62,1653,"[102,182,160,59,20,24,9,6,3,21,22,19,47,65,103,71,103,117,130,77,120,37,83,73]",#eebe1a,#fffc7f
"Famous Assassins",,624828334844674050,https://discord.gg/YHtMuQK,en,https://cdn.discordapp.com/icons/624828334844674050/b8de54f9cc87f16a7583fa755d2871d5.png,0,173,21,1653,"[113,120,63,21,66,23,63,6,49,45,43,26,22,19,12,22,89,227,196,216,44,80,60,28]",#ff0000,#800000
"Famous Assassins",,624828334844674050,https://discord.gg/4y4gwQD,en,https://cdn.discordapp.com/icons/624828334844674050/b8de54f9cc87f16a7583fa755d2871d5.png,0,173,21,1653,"[113,120,63,21,66,23,63,6,49,45,43,26,22,19,12,22,89,227,196,216,44,80,60,28]",#ff0000,#800000
"Hades Star Polska",,1205638048881180672,https://discord.gg/SXGecrzJ9c,,https://cdn.discordapp.com/icons/1205638048881180672/609b6716db89b325f12f961a4cdb43ae.png,0,105,9,1539,"[0,0,0,0,0,14,17,49,45,14,26,11,11,31,21,71,123,254,238,282,189,140,3,0]",#ff0000,#800000
"Stella⭐Glow",,651091645663543296,https://discord.gg/VR5QpE3,en,https://cdn.discordapp.com/icons/651091645663543296/04692c80fe8cb694dc67b8a129c50d3f.png,0,65,9,1485,"[22,28,146,31,10,11,14,29,11,21,66,71,58,76,48,136,135,132,107,65,121,43,26,78]",#ff0000,#800000
"ROGUE ONE HQ",,882161075435470859,https://discord.gg/Q98hT9Uv7T,en,https://cdn.discordapp.com/icons/882161075435470859/d47aee0ede5bec5bbd7de8a245c0a9f4.png,0,80,12,1390,"[28,51,70,48,45,126,55,21,45,45,34,51,45,38,51,231,100,37,76,42,64,41,26,20]",#ff0000,#800000
"ROGUE ONE HQ",,882161075435470859,https://discord.gg/PY7xzmc7nm,en,https://cdn.discordapp.com/icons/882161075435470859/d47aee0ede5bec5bbd7de8a245c0a9f4.png,0,80,12,1390,"[28,51,70,48,45,126,55,21,45,45,34,51,45,38,51,231,100,37,76,42,64,41,26,20]",#ff0000,#800000
Red_Coat_Mafia,,700759283628900461,https://discord.gg/MgcvvsKa8q,en,https://cdn.discordapp.com/icons/700759283628900461/9ed1b46098b99c47aa649cdc86a75720.png,0,649,64,1375,"[43,42,31,33,36,28,48,49,26,25,49,64,64,27,41,78,38,50,85,84,267,73,63,31]",#ff0000,#800000
"The Asylum",,386406930072993803,https://discord.gg/KFmTkb5,en,https://cdn.discordapp.com/icons/386406930072993803/ef84829f8d23b9f788fa422c2a065625.png,0,126,13,1373,"[0,0,17,17,0,0,17,0,0,17,17,17,167,67,50,117,17,85,150,100,301,117,34,66]",#ff0000,#800000
"Queendom Of Green",,180862131263111168,https://discord.gg/rbwFqKK,en,https://cdn.discordapp.com/icons/180862131263111168/d4b9c50827842dd421058d9bbc765360.png,0,106,58,1371,"[74,180,176,197,109,94,36,30,27,36,9,30,19,42,9,47,29,42,18,20,24,42,15,66]",#ff0000,#800000
"MastersofChaos and Friends ;)",,369899219919831040,https://discord.gg/q8zp3XdXbp,en,https://cdn.discordapp.com/icons/369899219919831040/16b079f079c922c27fd58ceb838f9442.png,0,41,4,1355,"[117,45,63,91,27,127,9,0,0,0,54,18,18,18,36,36,36,127,63,45,99,127,109,90]",#ff0000,#800000
MAJAPAHIT,,696954366552309860,https://discord.gg/MCDb2Mt,,https://cdn.discordapp.com/icons/696954366552309860/ccbd7dee54e46804ead9e7962be2a219.png,0,195,17,1311,"[31,46,23,42,82,79,49,75,44,45,119,64,54,97,165,77,62,46,6,21,31,12,24,17]",#ff0000,#800000
"Shadow Dominion Alliance",,1310786262705373215,https://discord.gg/7NQT2nHpeK,,https://cdn.discordapp.com/icons/1310786262705373215/7642cdf4524fc39f1b0976ad0d509645.png,0,121,24,1297,"[0,33,0,0,0,200,133,66,166,66,0,0,100,100,0,0,200,133,67,0,33,0,0,0]",#ff0000,#800000
"Imperium XIII",,513546950256099328,https://discord.gg/c9wtCDusgE,en,https://cdn.discordapp.com/icons/513546950256099328/7bc542e90c93b177ab105b1cb4043619.png,0,159,13,1255,"[17,17,17,26,43,43,31,48,74,43,41,110,199,97,90,39,38,72,17,43,58,47,25,20]",#ff0000,#800000
KOBOL,,1447280335162441728,https://discord.gg/FZVNhdkpXN,,https://cdn.discordapp.com/icons/1447280335162441728/afabf32f187aad64bd2354c9fc0e76dd.png,0,40,7,1243,"[4,27,152,33,64,34,11,40,4,11,0,11,0,85,55,130,167,70,104,52,48,115,26,0]",#ff0000,#800000
"Battlestar Fr",,342069679738847246,https://discord.gg/k7NRQ2Y,fr,https://cdn.discordapp.com/icons/342069679738847246/670fa97c67a64b92e36c5bb15e2d0be0.png,0,45,5,1222,"[30,0,7,0,11,37,90,44,59,78,63,59,179,71,26,109,55,78,34,114,11,15,26,26]",#ff0000,#800000
"Polish Pirates",,382304520811708428,https://discord.gg/vGfaYFN,pl,https://cdn.discordapp.com/icons/382304520811708428/74c94c72c5a228ee230b17eecd7ece47.png,0,130,10,1214,"[3,0,0,45,129,41,16,60,48,132,141,47,48,42,54,35,139,15,116,67,10,0,26,0]",#ff0000,#800000
Os,Os,485303090468093952,https://discord.gg/Wvw77nffmM,,https://cdn.discordapp.com/icons/485303090468093952/351d3ad0b9dc7502cf3b9692e9306c2c.png,5,53,18,1177,"[48,106,129,83,59,35,53,0,12,24,0,0,12,6,6,18,48,18,54,153,94,95,24,100]",#eebe1a,#fffc7f
"BrinySeal Corporation",,1220488894253109378,https://discord.gg/e9sXkVmVwe,,https://cdn.discordapp.com/icons/1220488894253109378/fbca10ae53e814c90b874c83b55ac01e.png,0,42,14,1153,"[29,113,16,29,48,50,29,32,53,60,35,19,22,77,13,16,38,72,35,92,39,43,103,90]",#ff0000,#800000
"White Star Inc.",,595224517148672030,https://discord.gg/n4nHC3N,en,https://cdn.discordapp.com/icons/595224517148672030/e05c2fbf786ffceaa4f8606d2d3fb6af.png,0,66,7,1146,"[77,24,12,112,24,0,18,0,0,36,42,53,18,65,106,66,48,18,212,77,18,60,24,36]",#ff0000,#800000
ZION,,791507969652293642,https://discord.gg/37KaujZtkU,ko,https://cdn.discordapp.com/icons/791507969652293642/a_18fea1c73fff85465a386cd538fe3781.gif,4,80,7,1096,"[18,29,137,56,64,52,46,52,156,104,106,67,68,65,33,12,8,2,0,0,1,4,7,9]",#ff0000,#800000
"Hermitage Hades Star",,641686424873336843,https://discord.gg/nMg8EAQ3zg,,,0,41,6,1086,"[13,0,0,0,25,6,50,12,138,125,25,19,50,57,70,25,75,119,50,94,51,56,13,13]",#ff0000,#800000
KLM,,390283009129054230,https://discord.gg/cWymECU,,https://cdn.discordapp.com/icons/390283009129054230/16ac90beb545aa5b90eb42d3463ffc75.png,0,126,14,1070,"[0,0,0,0,0,10,90,60,10,10,30,40,10,0,80,40,70,80,140,190,180,10,20,0]",#ff0000,#800000
"team rainbow",,696404939425185833,https://discord.gg/5SnKxxx,en,https://cdn.discordapp.com/icons/696404939425185833/bd1b188b8d7865ab00dd491cc3c048d0.png,0,59,3,1065,"[0,0,0,0,0,0,0,0,6,0,0,87,231,83,200,189,70,54,27,31,78,9,0,0]",#ff0000,#800000
"ℙ𝕖𝕒𝕤𝕒𝕟𝕥𝕤/CIS",,811092030389354506,https://discord.gg/M8TEcpgTwq,en,https://cdn.discordapp.com/icons/811092030389354506/fc6b75d59942a2ee932ee3f60f290931.png,0,77,14,1050,"[0,20,20,100,40,10,30,30,10,40,130,90,100,30,130,60,40,40,30,80,10,10,0,0]",#ff0000,#800000
"ℙ𝕖𝕒𝕤𝕒𝕟𝕥𝕤/CIS",,811092030389354506,https://discord.gg/eVBvw68KEU,en,https://cdn.discordapp.com/icons/811092030389354506/fc6b75d59942a2ee932ee3f60f290931.png,0,77,13,1050,"[0,20,20,100,40,10,30,30,10,40,130,90,100,30,130,60,40,40,30,80,10,10,0,0]",#ff0000,#800000
"Station InterCorpos",,1427930801944662018,https://discord.gg/fSvYtEu63M,,https://cdn.discordapp.com/icons/1427930801944662018/50d1f324effb28510f201baf40061a81.png,0,83,12,1037,"[0,0,0,0,0,12,22,46,6,29,111,62,128,84,45,189,68,17,56,55,78,18,0,11]",#ff0000,#800000
"Station InterCorpos",,1427930801944662018,https://discord.gg/CbAXgEKtQk,,https://cdn.discordapp.com/icons/1427930801944662018/50d1f324effb28510f201baf40061a81.png,0,83,9,1037,"[0,0,0,0,0,12,22,46,6,29,111,62,128,84,45,189,68,17,56,55,78,18,0,11]",#ff0000,#800000
Bunker,,1413276993944031436,https://discord.gg/BacNp3a4Wr,,https://cdn.discordapp.com/icons/1413276993944031436/1a7962bf15d7b888f32ecd62117d8fd9.png,0,42,14,1035,"[10,1,0,0,10,7,6,11,62,85,0,21,64,120,19,94,24,159,51,67,31,38,125,30]",#ff0000,#800000
